Brand,Model,RAM,Storage,Camera,Battery,Screen,5G Support,Finger Print,PTA Approved,Price
GOOGLE,GOOGLE PIXEL 8,12 GB,128GB,"50 MP, f/1.7, 25mm (wide), 1/1.31",5050 mAh,6.7 inches,Yes,Yes,No,"283,499 - PKR"
ONEPLUS,ONEPLUS 10T,8GB,128GB,"50 MP, f/1.8, 24mm (wide), 1/1.56","Li-Po 4800 mAh, non-removable",6.7 Inches,Yes,Yes,No,"115,999 - PKR"
APPLE,APPLE IPHONE 15,N/A,"256GB,512GB,1TB","48MP Main, 12MP Ultra Wide, and 12MP Telephoto",Up to 29 hours video playback,6.7 Inches,Yes,No,N/A,"414,999 - PKR"
APPLE,APPLE IPHONE 15,N/A,"128GB , 256GB ,512GB",48MP Main and 12MP Ultra Wide,Up to 20 hours video playback,6.1 Inches,Yes,No,N/A,"259,999 - PKR"
NOTHING,NOTHING PHONE 2,12GB,512GB,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0?m, PDAF, OIS 50 MP, f/2.2, 114? (ultrawide), 1/2.76"", 0.64?m, AF",4700 mAh,6.7 inches,No,Yes,No,"238,999 - PKR"
TECNO,TECNO SPARK 10,"4GB,8GB",128GB,"50 MP, (wide), 0.7m, PDAF 0.08 MP, (depth)","Li-Po 5000 mAh, non-removable Charging USB Type-C 2.0",6.6 inches,No,Yes,Yes,"34,999 - PKR"
SAMSUNG,SAMSUNG GALAXY Z FLIP 5,8GB,256GB,"12 MP, f/1.8, 24mm (wide), 1/1.76"", 1.8?m, Dual Pixel PDAF, OIS + 12 MP, f/2.2, 123? (ultrawide), LED Flash",3700 mAh,6.7 Inches,Yes,Yes,No,"359,999 - PKR"
XIAOMI,XIAOMI REDMI A2 PLUS,3GB,64GB,"8 MP, f/2.0, (wide) + 0.08 MP (depth), Dual LED Flash",5000 mAh,6.5 Inches,No,Yes,Yes,"25,999 - PKR"
RED,RED MAGIC 8S,16GB,512GB,"50 MP, f/1.9, 25mm (wide), 1/1.57"", 1.0?m, PDAF 8 MP, f/2.2, 120?, 13mm (ultrawide), 1/4.0"", 1.12?m 2 MP, f/2.4, (macro)",6000 mAh,6.8 inches,No,Yes,No,"329,999 - PKR"
SAMSUNG,SAMSUNG GALAXY Z FOLD 5,12GB,512GB,"50 MP, f/1.8, 23mm (wide), 1.0?m, Dual Pixel PDAF, OIS 10 MP, f/2.4, (telephoto), PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 123?, 12mm (ultrawide), 1.12?m",4400 mAh,7.6 inches,No,Yes,N/A,"599,999 - PKR"
NOTHING,NOTHING PHONE 2,8GB,256GB,"50 MP, f/1.9, 24mm (wide), 1/1.56",4700 mAh,6.7 inches,No,Yes,No,"234,999 - PKR"
TECNO,TECNO CAMON 20,8GB,256GB,"64 MP, f/1.7, 26mm (wide), 1/1.7",5000 mAh,6.67 Inches,No,Yes,Yes,"52,999 - PKR"
INFINIX,INFINIX NOTE 30,8 GB,256 GB,"64 MP, f/1.7, (wide), 1/2",5000 mAh,6.8 Inches,No,Yes,Yes,"52,999 - PKR"
TECNO,TECNO SPARK 10,"4GB,8GB",128GB,"50 MP, (wide), 0.7m, PDAF 0.08 MP, (depth)","Li-Po 5000 mAh, non-removable Charging USB Type-C 2.0",6.6 inches,No,Yes,N/A,"34,999 - PKR"
IPHONE,IPHONE 15,N/A,"128GB,256GB,512GB,1TB","48MP Main, 12MP Ultra Wide, and 12MP Telephoto",Up to 23 hours video playback,6.1 Inches,Yes,No,N/A,"351,999 - PKR"
NOTHING,NOTHING PHONE 1,8GB,256GB,"50 MP, f/1.9, 24mm (wide), 1/1.56","Li-Po 4500 mAh, non-removable",6.55 Inches,Yes,Yes,No,"129,999 - PKR"
OPPO,OPPO F21,8gb,128GB,riple Camera,"(Li-Po Non removable), 4500 mAh- Fast charging 33W, Reverse charging",6.43 Inches,No,Yes,Yes,"144,999 - PKR"
GOOGLE,GOOGLE PIXEL 8,8 GB,128GB,"50 MP, f/1.7, 25mm (wide), 1/1.31"", 1.2?m, dual pixel PDAF, multi-zone Laser AF, OIS 48 MP, f/2.8, 113mm (telephoto), 1/2.55"", 0.7?m, dual pixel PDAF, OIS, 5x optical zoom",5050 mAh,6.7 inches,Yes,Yes,No,Coming Soon
GOOGLE,GOOGLE PIXEL 8,8 GB,128 GB,"50 MP, f/1.7, 25mm (wide), 1/1.31"", 1.2?m, multi-directional PDAF, Laser AF, OIS 12 MP, f/2.2, 126? (ultrawide), 1/2.9"", 1.25?m, AF",4575 mAh,6.2 inches,Yes,Yes,No,Coming Soon
VIVO,VIVO V29 5G,"8GB,12GB","128GB,256GB","50 MP, f/1.9, (wide), 1/1.56",4600 mAh,6.78 inches,Yes,Yes,N/A,Coming Soon
VIVO,VIVO V27 5G,"8GB,12GB","128GB,256GB","64 MP, f/1.8, (wide), PDAF, OIS + 8 MP, f/2.2, 16mm, (ultrawide), 1/4",4600 mAh,6.78 Inches,Yes,Yes,N/A,Coming Soon
REALME,REALME GT3,"8GB,12GB,16GB","128GB,256GB,512GB","50 MP, f/1.9, 24mm (wide), 1/1.56",4600 mAh,6.74 inches,Yes,Yes,N/A,Coming Soon
XIAOMI,XIAOMI REDMI 13C,6GB,128GB,"50 MP, f/1.8, 28mm (wide), PDAF 2 MP, f/2.4, (macro) 0.08 MP (auxiliary lens)",5000 mAh,6.74 inches,No,Yes,Yes,"36,499 - PKR"
ONEPLUS,ONEPLUS ACE,12GB,512GB,"50 MP, f/1.8, 24mm (wide), 1/1.56","Li-Po 4800 mAh, non-removable",6.7 Inches,Yes,Yes,No,"126,999 - PKR"
APPLE,APPLE IPHONE 15,N/A,1TB,"48MP Main, 12MP Ultra Wide, and 12MP Telephoto",Up to 29 hours video playback,6.7 Inches,Yes,No,Yes,"734,999 - PKR"
APPLE,APPLE IPHONE 15,N/A,512GB,"48MP Main, 12MP Ultra Wide, and 12MP Telephoto",Up to 29 hours video playback,6.7 Inches,Yes,No,Yes,"649,999 - PKR"
APPLE,APPLE IPHONE 15,N/A,256GB,"48MP Main, 12MP Ultra Wide, and 12MP Telephoto",Up to 29 hours video playback,6.7 Inches,Yes,No,Yes,"559,999 - PKR"
APPLE,APPLE IPHONE 15,N/A,256GB,"48MP Main, 12MP Ultra Wide, and 12MP Telephoto",Up to 23 hours video playback,6.1 Inches,Yes,No,Yes,"509,999 - PKR"
APPLE,APPLE IPHONE 15,N/A,128GB,"48MP Main, 12MP Ultra Wide, and 12MP Telephoto",Up to 23 hours video playback,6.1 Inches,Yes,No,Yes,"484,999 - PKR"
REDMI,REDMI NOTE 12,8 GB,128 GB,Triple Camera,5000 mAh,6.67 Inches,No,Yes,Yes,"57,999 - PKR"
XIAOMI,XIAOMI REDMI 12C,4GB,128GB,"50 MP, (wide), PDAF + 0.08 MP (depth), LED Flash",5000 mAh,6.71 Inches,No,Yes,N/A,"27,999 - PKR"
APPLE,APPLE IPHONE 15,N/A,1TB,"48MP Main, 12MP Ultra Wide, and 12MP Telephoto",Up to 29 hours video playback,6.7 Inches,Yes,No,No,"609,999 - PKR"
GOOGLE,GOOGLE PIXEL 8,12 GB,128GB,"50 MP, f/1.7, 25mm (wide), 1/1.31",5050 mAh,6.7 inches,Yes,Yes,No,"283,499 - PKR"
ONEPLUS,ONEPLUS 10T,8GB,128GB,"50 MP, f/1.8, 24mm (wide), 1/1.56","Li-Po 4800 mAh, non-removable",6.7 Inches,Yes,Yes,No,"115,999 - PKR"
APPLE,APPLE IPHONE 15,N/A,"256GB,512GB,1TB","48MP Main, 12MP Ultra Wide, and 12MP Telephoto",Up to 29 hours video playback,6.7 Inches,Yes,No,N/A,"414,999 - PKR"
APPLE,APPLE IPHONE 15,N/A,"128GB , 256GB ,512GB",48MP Main and 12MP Ultra Wide,Up to 20 hours video playback,6.1 Inches,Yes,No,N/A,"259,999 - PKR"
NOTHING,NOTHING PHONE 2,12GB,512GB,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0?m, PDAF, OIS 50 MP, f/2.2, 114? (ultrawide), 1/2.76"", 0.64?m, AF",4700 mAh,6.7 inches,No,Yes,No,"238,999 - PKR"
TECNO,TECNO SPARK 10,"4GB,8GB",128GB,"50 MP, (wide), 0.7m, PDAF 0.08 MP, (depth)","Li-Po 5000 mAh, non-removable Charging USB Type-C 2.0",6.6 inches,No,Yes,Yes,"34,999 - PKR"
SAMSUNG,SAMSUNG GALAXY Z FLIP 5,8GB,256GB,"12 MP, f/1.8, 24mm (wide), 1/1.76"", 1.8?m, Dual Pixel PDAF, OIS + 12 MP, f/2.2, 123? (ultrawide), LED Flash",3700 mAh,6.7 Inches,Yes,Yes,No,"359,999 - PKR"
XIAOMI,XIAOMI REDMI A2 PLUS,3GB,64GB,"8 MP, f/2.0, (wide) + 0.08 MP (depth), Dual LED Flash",5000 mAh,6.5 Inches,No,Yes,Yes,"25,999 - PKR"
RED,RED MAGIC 8S,16GB,512GB,"50 MP, f/1.9, 25mm (wide), 1/1.57"", 1.0?m, PDAF 8 MP, f/2.2, 120?, 13mm (ultrawide), 1/4.0"", 1.12?m 2 MP, f/2.4, (macro)",6000 mAh,6.8 inches,No,Yes,No,"329,999 - PKR"
