name,url1,url2,web,ico,genre,country,iso,city,language,codec,lat,lon
__SOLOPIANO__ by rautemusik (rm.fm),https://solopiano-high.rautemusik.fm/?ref=radiobrowser,https://rautemusik-de-hz-fal-stream17.radiohost.de/solopiano?ref=radiobrowser,https://www.rm.fm/solopiano,,"hits,instrumental,klavier,new age piano,piano,piano jazz",Germany,DE,North Rhine-Westphalia,"english,german",MP3,,
#1 SMOOTH JAZZ ALL STARS,https://giorgia.radiobellissima.it/radio/8280/radio.mp3,https://giorgia.radiobellissima.it/radio/8280/radio.mp3,https://listen.openstream.co/6389,https://static.wixstatic.com/media/f361b3_441b22c09b064eb4b0516ba55b1402af~mv2.jpg,"192kbps,cool music seduction,high quality audio,instrumental,jazz,smooth,smooth jazz,vocal jazz",Canada,CA,Ontario,english,MP3,43.637164835151,-79.406993222265
0nlineradio HÄNDEL,https://stream.0nlineradio.com/haendel?ref=radiobrowser,https://stream.0nlineradio.com/haendel?ref=radiobrowser,https://0nlineradio.com/,https://i.ibb.co/y8Pcv7T/HA-NDEL-NEW.jpg,"classic,classic jazz,classical,classical music,classics,instrumental,klassik",Germany,DE,NRW,"english,german",MP3,50.906496882262,8.61328125
0nlineradio VIVALDI,https://stream.0nlineradio.com/vivaldi?ref=radiobrowser,https://stream.0nlineradio.com/vivaldi?ref=radiobrowser,https://0nlineradio.com/,https://i.ibb.co/HKNTfSQ/VIVALDI-NEW.jpg,"classic,classical,classical music,classics,instrumental,klassik,vivaldi",Germany,DE,NRW,"english,german",MP3,50.461001115992,7.91015625
1000 Melodien,http://stream.laut.fm/1000melodien,http://1000melodien.stream.laut.fm/1000melodien?t302=2023-09-30_09-10-29&uuid=4e7a5dee-2f91-4ba7-abb4-c2c778e5af53,http://1000melodien.de/,http://1000melodien.de/wp-content/themes/twentytwelve-1000melodien/apple-touch-icon-120x120.png,"ambient,easy listening,instrumental",Germany,DE,,,MP3,,
1001 CLASSIC COLLECTION,https://jenny.torontocast.com:2000/stream/1001classiccollection,https://jenny.torontocast.com:2000/stream/1001classiccollection,https://radiosuitenetwork.torontocast.stream/1001-classic-collection/,https://d1ujqdpfgkvqfi.cloudfront.net/favicon-generator/htdocs/favicons/2022-01-24/559916a5cf1289a0bed47ca16acdef73.ico.png,"clasica,classic,classical,classical baroque,classical music,classical piano,instrumental,opera",Canada,CA,Toronto,english,MP3,,
1001 TRUMPET SONG,https://stream.laut.fm/1001-trumpet-song,https://1001-trumpet-song.stream.laut.fm/1001-trumpet-song?t302=2023-09-30_07-28-33&uuid=39377e23-c163-49e1-b2ce-a4c4796182ad,https://laut.fm/1001-trumpet-song,https://d1ujqdpfgkvqfi.cloudfront.net/favicon-generator/htdocs/favicons/2023-05-29/6c4c8493efb0625e9df12380c53b3826.ico.png,"classic - instrumental,classic jazz,instrumental,instrumental music,jazz,jazz fusion,nu-jazz,smooth jazz",Germany,DE,,english,MP3,48.644025238397,11.173095703125
Abiding Radio Instrumental Hymns,https://www.abidingradio.org/radio/instrumental,https://www.abidingradio.org/radio/instrumental,http://abidingradio.org/,http://abidingradio.org/favicon.ico,"christian,hymns,instrumental",The United States Of America,US,Arizona,,MP3,,
All Piano Radio,http://streamingp.shoutcast.com/JamendoLounge,http://streamingp.shoutcast.com/JamendoLounge,https://allpianoradio.jimdofree.com/,,"classical,classical piano,instrumental,piano",France,FR,Grenoble,,MP3,,
Aloha Joe's Steel Guitar Island,http://s10.voscast.com:8324/,http://s10.voscast.com:8324/,http://www.steelguitarisland.com/,https://tunein.com/radio/Aloha-Joes-Steel-Guitar-Island-s237018/,"instrumental,steel guitar",The United States Of America,US,California,,MP3,,
Ambient Modern,http://s.stereoscenic.com/mod-s.pls,http://radio.stereoscenic.com/mod-s,https://ambientmodern.com/,https://ambientmodern.com/wp-content/uploads/2020/05/cropped-ambient-modern-3000-180x180.png,"ambient,chillout,instrumental,non-commercial,relax,relaxation music",The United States Of America,US,,,MP3,,
America Stereo Relax,http://stream.zeno.fm/62twtv23sfeuv,http://stream-158.zeno.fm/62twtv23sfeuv?zs=o5EoGVDARky-lO1VuNtBmQ,https://americastereo.net/,https://imgur.com/XzNBSvU,"chillout,instrumental,piano music,relax music",Colombia,CO,Bogota D.C.,"english,spanish",MP3,,
Antenne Niedersachsen Relax,http://stream.antenne.com/relax/mp3-192/linux/,http://antnds.streamabc.net/ands-antndsrelax-mp3-192-6389233?sABC=6517qpoo%230%232qqpnss01895rqr0s8oq129o03s183o0%23yvahk&aw_0_1st.playerid=linux&amsparams=playerid:linux;skey:1696062651,http://webradio.antenne.com/,,"easy listening,folk,instrumental,mood musik,music,oldies,pop,pop rock,rock,singer-songwriter",Germany,DE,Lower Saxony,german,MP3,,
